ecommerce_platform_exists,cart_element_found,price_pattern_found,num_currencies_found,ecommerce_keywords_count,anchor_buy_ratio,num_html_tags,text_to_html_ratio,word_count,anchor_count,avg_price_dom_position,url,label,has_kw_cart,has_kw_00,has_kw_shop,has_kw_accessories,has_kw_shopping,has_kw_2025,has_kw_shipping,has_kw_world,has_kw_news,has_kw_ir,has_kw_products,has_kw_eur,has_kw_brands,has_kw_delivery,has_kw_items,has_kw_resources,has_kw_payment,has_kw_ai,has_kw_live,has_kw_community
0,1,0,0,0,0.0,248,0.045,241,28,22.0,https://www.waeschenamen-windrath.de,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0.0,1523,0.017,742,278,-1.0,https://vendoprint.se,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,0,0.17,2820,0.014,933,218,1297.25,https://balaganstudio.com,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,1,1,0,1,0.038,822,0.022,710,78,292.703,https://shop.tovarseasycleaning.com,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1,1,0,1,1,0.008,5401,0.016,4226,500,-1.0,https://camerabebelusului.ro,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
0,1,0,0,0,0.0,1599,0.055,1324,151,-1.0,https://www.kaffee-partner-shop.de,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0.0,509,0.004,255,45,335.104,https://www.vitobaldai.lt,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0,2,0.052,2656,0.012,1620,717,1207.0,https://www.mcsport.ie,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0
1,1,0,0,2,0.061,1406,0.015,1128,181,-1.0,https://www.mrmarvis.com,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
1,1,1,0,1,0.014,3016,0.01,1353,426,2081.071,https://www.hard-wear.com,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0
1,1,1,1,4,0.03,2891,0.029,1799,472,1525.677,https://dakonda.com/en,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0
